"Time","Interest","Cliche","Dumb","WTF","Funny"
"1510","60","1","1","1","1"
"1512","60","1","1","1","1"
"1514","60","1","1","1","1"
"1516","60","1","1","1","1"
"1518","60","1","1","1","1"
"1520","60","1","1","1","1"
"1522","60","1","1","1","1"
"1524","60","1","1","1","1"
"1526","60","1","1","1","1"
"1528","60","1","1","1","1"
"1530","60","1","1","1","1"
"1532","60","1","1","1","1"
"1534","60","1","1","1","1"
"1536","60","1","1","1","1"
"1538","60","1","1","1","1"
"1540","60","1","1","1","1"
"1542","60","1","1","1","1"
"1544","60","1","1","1","1"
"1546","60","1","1","1","1"
"1548","60","1","1","1","1"
"1550","60","1","1","1","1"
"1552","64","1","1","1","1"
"1554","70","1","1","1","1"
"1556","70","1","1","1","1"
"1558","70","1","1","1","1"
"1560","70","1","1","1","1"
"1562","70","1","1","1","1"
"1564","70","1","1","1","1"
"1566","70","1","1","1","1"
"1568","70","1","1","1","1"
"1570","70","1","1","1","1"
"1572","70","1","1","1","1"
"1574","70","1","1","1","1"
"1576","70","1","1","1","1"
"1578","70","1","1","1","1"
"1580","70","1","1","1","1"
"1582","70","1","1","1","1"
"1584","70","1","1","1","1"
"1586","70","1","1","1","1"
"1588","70","1","1","1","1"
"1590","70","1","1","1","1"
"1592","70","1","1","1","1"
"1594","70","1","1","1","1"
"1596","70","1","1","1","1"
"1598","70","1","1","1","1"
"1600","70","1","1","1","1"
"1602","70","1","1","1","1"
"1604","70","1","1","1","1"
"1606","70","1","1","1","1"
"1608","70","1","1","1","1"
"1610","70","1","1","1","1"
"1612","70","1","1","1","1"
"1614","70","1","1","1","1"
"1616","70","1","1","1","1"
"1618","70","1","1","1","1"
"1620","70","1","1","1","1"
"1622","70","1","1","1","1"
"1624","70","1","1","1","1"
"1626","70","1","1","1","1"
"1628","70","1","1","1","1"
"1630","70","1","1","1","1"
"1632","70","1","1","1","1"
"1634","70","1","1","1","1"
"1636","70","1","1","1","1"
"1638","70","1","1","1","1"
"1640","62","1","1","1","1"
"1642","62","1","1","1","1"
"1644","62","1","1","1","1"
"1646","58","1","1","1","1"
"1648","58","1","1","1","1"
"1650","58","1","1","1","1"
"1652","58","1","1","1","1"
"1654","58","1","1","1","1"
"1656","58","1","1","1","1"
"1658","58","1","1","1","1"
"1660","58","1","1","1","1"
"1662","58","1","1","1","1"
"1664","58","1","1","1","1"
"1666","58","1","1","1","1"
"1668","58","1","1","1","1"
"1670","58","1","1","1","1"
"1672","58","1","1","1","1"
"1674","58","1","1","1","1"
"1676","58","1","1","1","1"
"1678","58","1","1","1","1"
"1680","58","1","1","1","1"
"1682","58","1","1","1","1"
"1684","58","1","1","1","1"
"1686","58","1","1","1","1"
"1688","58","1","1","1","1"
"1690","58","1","1","1","1"
"1692","58","1","1","1","1"
"1694","58","1","1","1","1"
"1696","58","1","1","1","1"
"1698","58","1","1","1","1"
"1700","58","1","1","1","1"
"1702","58","1","1","1","1"
"1704","58","1","1","1","1"
"1706","58","1","1","1","1"
"1708","58","1","1","1","1"
"1710","58","1","1","1","1"
"1712","58","1","1","1","1"
"1714","58","1","1","1","1"
"1716","58","1","1","1","1"
"1718","68","1","1","1","1"
"1720","76","1","1","1","1"
"1722","76","1","1","1","1"
"1724","76","1","1","1","1"
"1726","76","1","1","1","1"
"1728","76","1","1","1","1"
"1730","76","1","1","1","1"
"1732","76","1","1","1","1"
"1734","76","1","1","1","1"
"1736","76","1","1","1","1"
"1738","76","1","1","1","1"
"1740","76","1","1","1","1"
"1742","76","1","1","1","1"
"1744","76","1","1","1","1"
"1746","76","1","1","1","1"
"1748","76","1","1","1","1"
"1750","76","1","1","1","1"
"1752","76","1","1","1","1"
"1754","76","1","1","1","1"
"1756","76","1","1","1","1"
"1758","76","1","1","1","1"
"1760","76","1","1","1","1"
"1762","76","1","1","1","1"
"1764","76","1","1","1","1"
"1766","76","1","1","1","1"
"1768","76","1","1","1","1"
"1770","76","1","1","1","1"
"1772","76","1","1","1","1"
"1774","76","1","1","1","1"
"1776","76","1","1","1","1"
"1778","76","1","1","1","1"
"1780","76","1","1","1","1"
"1782","76","1","1","1","1"
"1784","76","1","1","1","1"
"1786","76","1","1","1","1"
"1788","76","1","1","1","1"
"1790","76","1","1","1","1"
"1792","76","1","1","1","1"
"1794","76","1","1","1","1"
"1796","76","1","1","1","1"
"1798","76","1","1","1","1"
"1800","76","1","1","1","1"
"1802","68","1","1","1","1"
"1804","68","1","1","1","1"
"1806","60","1","1","1","1"
"1808","60","1","1","1","1"
"1810","60","1","1","1","1"
"1812","60","1","1","1","1"
"1814","60","1","1","1","1"
"1816","60","1","1","1","1"
"1818","60","1","1","1","1"
"1820","60","1","1","1","1"
"1822","60","1","1","1","1"
"1824","60","1","1","1","1"
"1826","60","1","1","1","1"
"1828","60","1","1","1","1"
"1830","60","1","1","1","1"
"1832","60","1","1","1","1"
"1834","60","1","1","1","1"
"1836","60","1","1","1","1"
"1838","60","1","1","1","1"
"1840","60","1","1","1","1"
"1842","60","1","1","1","1"
"1844","60","1","1","1","1"
"1846","60","1","1","1","1"
"1848","60","1","1","1","1"
"1850","60","1","1","1","1"
"1852","60","1","1","1","1"
"1854","60","1","1","1","1"
"1856","60","1","1","1","1"
"1858","60","1","1","1","1"
"1860","60","1","1","1","1"
"1862","60","1","1","1","1"
"1864","60","1","1","1","1"
"1866","60","1","1","1","1"
"1868","60","1","1","1","1"
"1870","60","1","1","1","1"
"1872","60","1","1","1","1"
"1874","60","1","1","1","1"
"1876","60","1","1","1","1"
"1878","60","1","1","1","1"
"1880","60","1","1","1","1"
"1882","60","1","1","1","1"
"1884","60","1","1","1","1"
"1886","60","1","1","1","1"
"1888","60","1","1","1","1"
"1890","60","1","1","1","1"
"1892","60","1","1","1","1"
"1894","60","1","1","1","1"
"1896","60","1","1","1","1"
"1898","60","1","1","1","1"
"1900","60","1","1","1","1"
"1902","60","1","1","1","1"
"1904","60","1","1","1","1"
"1906","60","1","1","1","1"
"1908","60","1","1","1","1"
"1910","60","1","1","1","1"
"1912","60","1","1","1","1"
"1914","60","1","1","1","1"
"1916","60","1","1","1","1"
