"Time","0Interest","1Cliche","2Dumb","3Wtf","4Funny"
"1238","56","1","1","1","1"
"1240","56","1","1","1","1"
"1242","56","1","1","1","1"
"1244","56","1","1","1","1"
"1246","56","1","1","1","1"
"1248","56","1","1","1","1"
"1250","56","1","1","1","1"
"1252","56","1","1","1","1"
"1254","56","1","1","1","1"
"1256","56","1","1","1","1"
"1258","56","1","1","1","1"
"1260","56","1","1","1","1"
"1262","56","1","1","1","1"
"1264","56","1","1","1","1"
"1266","56","1","1","1","1"
"1268","56","1","1","1","1"
"1270","56","1","1","1","1"
"1272","56","1","1","1","1"
"1274","56","1","1","1","1"
"1276","56","1","1","1","1"
"1278","56","1","1","1","1"
"1280","56","1","1","1","1"
"1282","56","1","1","1","1"
"1284","56","1","1","1","1"
"1286","50","1","1","1","1"
"1288","50","1","1","1","1"
"1290","50","1","1","1","1"
"1292","50","1","1","1","1"
"1294","50","1","1","1","1"
"1296","50","1","1","1","1"
"1298","50","1","1","1","1"
"1300","50","1","1","1","1"
"1302","50","1","1","1","1"
"1304","50","1","1","1","1"
"1306","50","1","1","1","1"
"1308","50","1","1","1","1"
"1310","50","1","1","1","1"
"1312","50","1","1","1","1"
"1314","50","1","1","1","1"
"1316","50","1","1","1","1"
"1318","50","1","1","1","1"
"1320","50","1","1","1","1"
"1322","50","1","1","1","1"
"1324","50","1","1","1","1"
"1326","50","1","1","1","1"
"1328","50","1","1","1","1"
"1330","50","1","1","1","1"
"1332","50","1","1","1","1"
"1334","50","1","1","1","1"
"1336","50","1","1","1","1"
"1338","50","1","1","1","1"
"1340","50","1","1","10","1"
"1342","50","1","1","10","1"
"1344","50","1","1","1","1"
"1346","50","1","1","1","1"
"1348","50","1","1","1","1"
"1350","50","1","1","1","1"
"1352","50","1","1","1","1"
"1354","50","1","1","1","1"
"1356","50","1","1","1","1"
"1358","50","1","1","1","1"
"1360","50","1","1","1","1"
"1362","50","1","1","1","1"
"1364","50","1","1","1","1"
"1366","50","1","1","1","1"
"1368","50","1","1","1","1"
"1370","50","1","1","1","1"
"1372","50","1","1","1","1"
"1374","50","1","1","1","1"
"1376","50","1","1","1","1"
"1378","50","1","1","1","1"
"1380","50","1","1","1","1"
"1382","50","1","1","1","1"
"1384","50","1","1","1","1"
"1386","50","1","1","1","1"
"1388","50","1","1","1","1"
"1390","50","1","1","1","1"
"1392","50","1","1","1","1"
"1394","50","1","1","1","1"
"1396","50","1","1","1","1"
"1398","50","1","1","1","1"
"1400","50","1","1","1","1"
"1402","50","1","1","1","1"
"1404","50","1","1","1","1"
"1406","50","1","1","1","1"
"1408","50","1","1","1","1"
"1410","50","1","1","1","1"
"1412","50","1","1","1","1"
"1414","50","1","1","1","1"
"1416","50","1","1","1","1"
"1418","50","1","1","1","1"
"1420","50","1","1","1","1"
"1422","50","1","1","1","1"
"1424","50","1","1","1","1"
"1426","50","1","1","1","1"
"1428","50","1","1","1","1"
"1430","50","1","1","1","1"
"1432","50","1","1","1","1"
"1434","50","1","1","1","1"
"1436","50","1","1","1","1"
"1438","50","1","1","1","1"
"1440","50","1","1","1","1"
"1442","50","1","1","1","1"
"1444","50","1","1","1","1"
"1446","50","1","1","1","1"
"1448","50","1","1","1","1"
"1450","50","1","1","1","1"
"1452","50","1","1","1","1"
"1454","50","1","1","1","1"
"1456","50","1","1","1","1"
"1458","50","1","1","1","1"
"1460","50","1","1","1","1"
"1462","50","1","1","1","1"
"1464","50","1","1","1","1"
"1466","50","1","1","1","1"
"1468","50","1","1","1","1"
"1470","50","1","1","1","1"
"1472","50","1","1","1","1"
"1474","50","1","1","1","1"
"1476","50","1","1","1","1"
"1478","50","1","1","1","1"
"1480","50","1","1","1","1"
"1482","50","1","1","1","1"
"1484","50","1","1","1","1"
"1486","50","1","1","1","1"
"1488","50","1","1","1","1"
"1490","50","1","1","1","1"
"1492","50","1","16","1","1"
"1494","50","1","16","1","1"
"1496","50","1","16","1","1"
"1498","50","1","16","1","1"
"1500","50","1","16","1","1"
"1502","50","1","1","1","1"
"1504","50","1","1","1","1"
"1506","50","1","1","1","1"
"1508","50","1","1","1","1"
"1510","50","1","1","1","1"
"1512","50","1","1","1","1"
"1514","50","1","1","1","1"
"1516","50","1","1","1","1"
"1518","50","1","1","1","1"
"1520","50","1","1","1","1"
"1522","50","1","1","1","1"
"1524","50","1","1","1","1"
"1526","50","1","1","1","1"
"1528","50","1","1","1","1"
"1530","50","1","1","1","1"
"1532","50","2","1","1","1"
"1534","50","8","1","1","1"
"1536","50","8","1","1","1"
"1538","50","1","1","1","1"
"1540","50","1","1","1","1"
"1542","50","1","1","1","1"
"1544","50","1","1","1","1"
"1546","50","1","1","1","1"
"1548","50","1","1","1","1"
"1550","50","1","1","1","1"
"1552","50","1","1","1","1"
"1554","50","1","1","1","1"
"1556","50","1","1","1","1"
"1558","50","1","1","1","1"
"1560","50","1","1","1","1"
"1562","50","1","1","1","1"
"1564","50","1","1","1","1"
"1566","50","1","1","1","1"
"1568","50","1","1","1","1"
"1570","50","1","1","1","1"
"1572","50","1","1","1","1"
"1574","50","1","1","1","1"
"1576","50","1","1","1","1"
"1578","50","1","1","1","1"
"1580","50","1","1","1","1"
"1582","50","1","1","1","1"
"1584","50","1","1","1","1"
"1586","50","1","1","1","1"
"1588","50","1","1","1","1"
"1590","50","1","1","1","1"
"1592","50","1","1","1","1"
"1594","50","1","1","1","1"
"1596","50","1","1","1","1"
"1598","50","1","1","1","1"
"1600","50","1","1","1","1"
"1602","50","1","1","1","1"
"1604","50","1","1","1","1"
"1606","50","1","1","1","1"
"1608","50","1","1","1","1"
"1610","50","1","1","1","1"
"1612","50","6","1","1","1"
"1614","50","6","1","1","1"
"1616","50","6","1","1","1"
"1618","50","6","1","1","1"
"1620","50","6","1","1","1"
"1622","50","6","1","1","1"
"1624","50","1","1","1","1"
"1626","50","1","1","1","1"
"1628","50","1","1","1","1"
"1630","50","1","1","1","1"
"1632","50","1","1","1","1"
"1634","50","1","1","1","1"
"1636","50","1","1","1","1"
"1638","50","1","1","1","1"
"1640","50","1","1","1","1"
"1642","50","1","1","1","1"
"1644","50","1","1","1","1"
"1646","50","1","1","1","1"
"1648","50","1","1","1","1"
"1650","50","1","1","1","1"
"1652","50","1","1","1","1"
"1654","50","1","1","1","1"
"1656","50","1","1","1","1"
"1658","50","1","1","1","1"
"1660","50","1","1","1","1"
"1662","50","1","1","1","1"
"1664","50","1","1","1","1"
"1666","50","1","1","1","1"
"1668","50","1","1","1","1"
"1670","50","1","1","1","1"
"1672","50","1","1","1","1"
"1674","50","1","1","1","1"
"1676","50","1","1","1","1"
"1678","50","1","1","1","1"
"1680","50","1","1","1","1"
"1682","50","1","1","1","1"
"1684","50","1","1","1","1"
"1686","50","1","1","1","1"
"1688","50","1","1","1","1"
"1690","50","1","1","1","1"
"1692","50","1","1","1","1"
"1694","50","1","1","1","1"
"1696","50","1","1","1","1"
"1698","50","1","1","1","1"
"1700","50","1","1","1","1"
"1702","50","1","1","1","1"
"1704","50","1","1","1","1"
"1706","50","1","1","1","1"
"1708","50","1","1","1","1"
"1710","50","1","1","1","1"
"1712","50","1","1","1","1"
"1714","50","1","1","1","1"
"1716","50","1","8","1","1"
"1718","50","1","8","1","1"
"1720","50","1","8","1","1"
"1722","50","1","8","1","1"
"1724","50","1","8","1","1"
"1726","50","1","8","1","1"
"1728","50","1","8","1","1"
"1730","50","1","8","1","1"
"1732","50","1","8","1","1"
"1734","50","1","8","1","1"
"1736","50","1","8","1","1"
"1738","50","1","8","1","1"
"1740","50","1","8","1","1"
"1742","50","1","8","1","1"
"1744","50","1","8","1","1"
"1746","50","1","8","1","1"
"1748","50","1","8","1","1"
"1750","50","1","8","1","1"
"1752","50","1","8","1","1"
"1754","50","1","26","1","1"
"1756","50","1","26","1","1"
"1758","50","1","26","1","1"
"1760","50","1","26","1","1"
