"Time","0Interest","1Cliche","2Funny","3Dumb","4Wtf"
"1120","62","0","0","0","0"
"1122","62","0","0","0","0"
"1124","62","0","0","0","0"
"1126","62","0","0","0","0"
"1128","62","0","0","0","0"
"1130","62","0","0","0","0"
"1132","62","0","0","0","0"
"1134","62","0","0","0","0"
"1136","62","0","0","0","0"
"1138","62","0","0","0","0"
"1140","62","0","0","0","0"
"1142","62","0","0","0","0"
"1144","62","0","0","0","0"
"1146","62","0","0","0","0"
"1148","62","0","0","0","0"
"1150","62","0","0","0","0"
"1152","62","0","0","0","0"
"1154","62","0","0","0","0"
"1156","62","0","0","0","0"
"1158","62","0","0","0","0"
"1160","62","0","0","0","0"
"1162","68","0","0","0","0"
"1164","68","0","0","0","0"
"1166","68","0","0","0","0"
"1168","68","0","0","0","0"
"1170","68","0","0","0","0"
"1172","68","0","0","0","0"
"1174","68","0","0","0","0"
"1176","68","0","0","0","0"
"1178","68","0","0","0","0"
"1180","68","0","0","0","0"
"1182","68","0","0","0","0"
"1184","68","0","0","0","0"
"1186","68","0","0","0","0"
"1188","68","0","0","0","0"
"1190","68","0","0","0","0"
"1192","68","0","0","0","0"
"1194","68","0","0","0","0"
"1196","68","0","0","0","0"
"1198","68","0","0","0","0"
"1200","68","0","0","0","0"
"1202","68","0","0","0","0"
"1204","68","0","0","0","0"
"1206","68","0","0","0","0"
"1208","68","0","0","0","0"
"1210","70","0","0","0","0"
"1212","70","0","0","0","0"
"1214","70","0","0","0","0"
"1216","70","0","0","0","0"
"1218","70","0","0","0","0"
"1220","70","0","0","0","0"
"1222","70","0","0","0","0"
"1224","70","0","0","0","0"
"1226","70","0","0","0","0"
"1228","70","0","0","0","0"
"1230","70","0","0","0","0"
"1232","70","0","0","0","0"
"1234","70","0","0","0","0"
"1236","70","0","0","0","0"
"1238","70","0","0","0","0"
"1240","70","0","0","0","0"
"1242","70","0","0","0","0"
"1244","70","0","0","0","0"
"1246","70","0","0","0","0"
"1248","70","0","0","0","0"
"1250","70","0","0","0","0"
"1252","70","0","0","0","0"
"1254","70","0","0","0","0"
"1256","74","0","0","0","0"
"1258","74","0","0","0","0"
"1260","74","0","0","0","0"
"1262","74","0","0","0","0"
"1264","74","0","0","0","0"
"1266","74","0","0","0","0"
"1268","74","0","0","0","0"
"1270","74","0","0","0","0"
"1272","74","0","0","0","0"
"1274","74","0","0","0","0"
"1276","74","0","0","0","0"
"1278","74","0","0","0","0"
"1280","74","0","0","0","0"
"1282","74","0","0","0","0"
"1284","74","0","0","0","0"
"1286","74","0","0","0","0"
"1288","74","0","0","0","0"
"1290","74","0","0","0","0"
"1292","74","0","0","0","0"
"1294","74","0","0","0","0"
"1296","74","0","0","0","0"
"1298","74","0","0","0","0"
"1300","74","0","0","0","0"
"1302","74","0","0","0","0"
"1304","74","0","0","0","0"
"1306","74","0","0","0","0"
"1308","74","0","0","0","0"
"1310","74","0","0","0","0"
"1312","74","0","0","0","0"
"1314","74","0","0","0","0"
"1316","74","0","0","0","0"
"1318","74","0","0","0","0"
"1320","74","0","0","0","0"
"1322","74","0","0","0","0"
"1324","74","0","0","0","0"
"1326","74","0","0","0","0"
"1328","74","0","0","0","0"
"1330","74","0","0","0","0"
"1332","74","0","0","0","0"
"1334","74","0","0","0","0"
"1336","74","0","0","0","0"
"1338","74","0","0","0","0"
"1340","74","0","0","0","0"
"1342","74","0","0","0","0"
"1344","74","0","0","0","0"
"1346","74","0","0","0","0"
"1348","74","0","0","0","0"
"1350","74","0","0","0","0"
"1352","74","0","0","0","0"
"1354","74","0","0","0","0"
"1356","74","0","0","0","0"
"1358","74","0","0","0","0"
"1360","74","0","0","0","0"
"1362","74","0","0","0","0"
"1364","74","0","0","0","0"
"1366","74","0","0","0","0"
"1368","74","0","0","0","0"
"1370","74","0","0","0","0"
"1372","74","0","0","0","0"
"1374","74","0","0","0","0"
"1376","74","0","0","0","0"
"1378","74","0","0","0","0"
"1380","74","0","0","0","0"
"1382","74","0","0","0","0"
"1384","74","0","0","0","0"
"1386","74","0","0","0","0"
"1388","74","0","0","0","0"
"1390","74","0","0","0","0"
"1392","74","0","0","0","0"
"1394","74","0","0","0","0"
"1396","74","0","0","0","0"
"1398","74","0","0","0","0"
"1400","74","0","0","0","0"
"1402","74","0","0","0","0"
"1404","74","0","0","0","0"
"1406","74","0","0","0","0"
"1408","74","0","0","0","0"
"1410","74","0","0","0","0"
"1412","74","0","0","0","0"
"1414","74","0","0","0","0"
"1416","74","0","0","0","0"
"1418","74","0","0","0","0"
"1420","74","0","0","0","0"
"1422","74","0","0","0","0"
"1424","74","0","0","0","0"
"1426","74","0","0","0","0"
"1428","74","0","0","0","0"
"1430","74","0","0","0","0"
"1432","74","0","0","0","0"
"1434","74","0","0","0","0"
"1436","74","0","0","0","0"
"1438","74","0","0","0","0"
"1440","74","0","0","0","0"
"1442","74","0","0","0","0"
"1444","74","0","0","0","0"
"1446","74","0","0","0","0"
"1448","74","0","0","0","0"
"1450","74","0","0","0","0"
"1452","74","0","0","0","0"
"1454","74","0","0","0","0"
"1456","74","0","0","0","0"
"1458","74","0","0","0","0"
"1460","74","0","0","0","0"
"1462","74","0","0","0","0"
"1464","74","0","0","0","0"
"1466","74","0","0","0","0"
"1468","74","0","0","0","0"
"1470","74","0","0","0","0"
"1472","74","0","0","0","0"
"1474","74","0","0","0","0"
"1476","74","0","0","0","0"
"1478","78","0","0","0","0"
"1480","78","0","0","0","0"
"1482","78","0","0","0","0"
"1484","78","0","0","0","0"
"1486","78","0","0","0","0"
"1488","78","0","0","0","0"
"1490","78","0","0","0","0"
"1492","78","0","0","0","0"
"1494","78","0","0","0","0"
"1496","78","0","0","0","0"
"1498","78","0","0","0","0"
"1500","78","0","0","0","0"
"1502","78","0","0","0","0"
"1504","78","0","0","0","0"
"1506","78","0","0","0","0"
"1508","78","0","0","0","0"
"1510","78","0","0","0","0"
"1512","78","0","0","0","0"
"1514","78","0","0","0","0"
"1516","78","0","0","0","0"
"1518","78","0","0","0","0"
"1520","78","0","0","0","0"
"1522","78","0","0","0","0"
"1524","78","0","0","0","0"
"1526","78","0","0","0","0"
"1528","78","0","0","0","0"
"1530","78","0","0","0","0"
"1532","78","0","0","0","0"
"1534","78","0","0","0","0"
"1536","78","0","0","0","0"
"1538","78","0","0","0","0"
"1540","78","0","0","0","0"
"1542","78","0","0","0","0"
"1544","78","0","0","0","0"
"1546","78","0","0","0","0"
"1548","78","0","0","0","0"
"1550","78","0","0","0","0"
"1552","78","0","0","0","0"
"1554","78","0","0","0","0"
"1556","78","0","0","0","0"
"1558","78","0","0","0","0"
"1560","78","0","0","0","0"
"1562","78","0","0","0","0"
"1564","78","0","0","0","0"
"1566","78","0","0","0","0"
"1568","78","0","0","0","0"
"1570","78","0","0","0","0"
"1572","78","0","0","0","0"
"1574","78","0","0","0","0"
"1576","78","0","0","0","0"
"1578","78","0","0","0","0"
"1580","78","0","0","0","0"
"1582","78","0","0","0","0"
"1584","78","0","0","0","0"
"1586","80","0","0","0","0"
"1588","80","0","0","0","0"
"1590","80","0","0","0","0"
"1592","80","0","0","0","0"
"1594","80","0","0","0","0"
"1596","80","0","0","0","0"
"1598","80","0","0","0","0"
"1600","80","0","0","0","0"
"1602","80","0","0","0","0"
"1604","80","0","0","0","0"
"1606","80","0","0","0","0"
"1608","80","0","0","0","0"
"1610","80","0","0","0","0"
"1612","80","0","0","0","0"
"1614","80","0","0","0","0"
"1616","80","0","0","0","0"
"1618","80","0","0","0","0"
"1620","80","0","0","0","0"
"1622","80","0","0","0","0"
"1624","80","0","0","0","0"
"1626","80","0","0","0","0"
"1628","80","0","0","0","0"
"1630","80","0","0","0","0"
"1632","80","0","0","0","0"
"1634","80","0","0","0","0"
"1636","80","0","0","0","0"
"1638","80","0","0","0","0"
"1640","80","0","0","0","0"
"1642","80","0","0","0","0"
"1644","80","0","0","0","0"
"1646","82","0","0","0","0"
"1648","82","0","0","0","0"
"1650","82","0","0","0","0"
"1652","82","0","0","0","0"
"1654","82","0","0","0","0"
"1656","82","0","0","0","0"
"1658","82","0","0","0","0"
"1660","82","0","0","0","0"
"1662","82","0","10","0","0"
"1664","82","0","0","0","0"
"1666","82","0","0","0","0"
"1668","82","0","0","0","0"
"1670","82","0","0","0","0"
"1672","82","0","0","0","0"
"1674","82","0","4","0","0"
"1676","82","0","6","0","0"
"1678","82","0","6","0","0"
"1680","82","0","0","0","8"
"1682","82","0","0","0","8"
"1684","82","0","0","0","8"
"1686","82","0","0","0","8"
"1688","82","0","0","0","8"
"1690","82","0","0","0","8"
"1692","82","0","0","0","8"
"1694","82","0","0","0","8"
"1696","82","0","0","0","8"
"1698","82","0","0","0","8"
"1700","82","0","0","0","8"
"1702","82","0","0","0","8"
"1704","82","0","0","0","8"
"1706","82","0","0","0","4"
